album_name,ep,album_release,track_number,track_name,artist,featuring,bonus_track,promotional_release,single_release,track_release,danceability,energy,loudness,acousticness,instrumentalness,valence,tempo,duration_ms,explicit,key,mode,key_name,mode_name,key_mode,lyrics,has_lyrics
Taylor Swift,False,2006-10-24,1.0,Tim McGraw,Taylor Swift,,True,,2006-06-19,2006-06-19,0.41,0.35,0.22,0.95,0.75,0.78,76.0,232106.0,False,0.0,1.0,C,major,C major,"You said the way my blue eyes shined,
Put those Georgia stars to shame that night
I said: ""That's a lie""
Just a boy in a Chevy truck,
That had a tendency of gettin' stuck,
On backroads at night
An' I was right there beside him all summer long
An' then the time we woke up to find that summer'd gone

But when you think: Tim McGraw,
I hope you think my favorite song
The one we danced to all night long:
The moon like a spotlight on the lake
When you think happiness,
I hope you think: ""That little black dress""
Think of my head on your chest,
An' my old faded blue jeans
When you think Tim McGraw,
I hope you think of me

September saw a month of tears,
An' thankin' God that you weren't here,
To see me like that
But in a box beneath my bed,
Is a letter that you never read,
From three summers back
It's hard not to find it all a little bitter sweet,
An' lookin' back on all of that, it's nice to believe:

When you think: Tim McGraw,
I hope you think my favorite song
The one we danced to all night long:
The moon like a spotlight on the lake
When you think happiness,
I hope you think: ""That little black dress""
Think of my head on your chest,
An' my old faded blue jeans
When you think Tim McGraw,
I hope you think of me

And I'm back for the first time since then:
I'm standin' on your street,
An' there's a letter left on your doorstep,
An' the first thing that you'll read:

Is: ""When you think: Tim McGraw,
""I hope you think my favorite song""
Some day you'll turn your radio on,
I hope it takes you back to that place
When you think happiness,
I hope you think: ""That little black dress""
Think of my head on your chest,
An' my old faded blue jeans
When you think Tim McGraw,
I hope you think of me
Oh, think of me,
Mmmm

You said the way my blue eyes shined,
Put those Georgia stars to shame that night
I said: ""That's a lie""",True
Taylor Swift,False,2006-10-24,2.0,Picture To Burn,Taylor Swift,,True,,2008-02-03,2006-10-24,0.43,0.41,0.13,0.91,0.75,0.8,105.47,173066.0,False,2.0,1.0,D,major,D major,"State the obvious, I didn't get my perfect fantasy
I realize you love yourself more than you could ever love me
So go and tell your friends that I'm obsessive and crazy
That's fine; I'll tell mine you're gay
And by the way...

[Chorus:]

I hate that stupid old pickup truck
You never let me drive
You're a redneck heartbreak
Who's really bad at lying
So watch me strike a match
On all my wasted time
As far as I'm concerned you're
Just another picture to burn

There's no time for tears,
I'm just sitting here planning my revenge
There's nothing stopping me
From going out with all of your best friends
And if you come around saying sorry to me
My daddy's gonna show you how sorry you'll be

[Repeat Chorus]

If you're missing me,
You'd better keep it to yourself
Cause coming back around here
Would be bad for your health...

I hate that stupid old pickup truck
You never let me drive
You're a redneck heartbreak
Who's really bad at lying
So watch me strike a match
On all my wasted time
In case you haven't heard,
I really really hate that..

[Repeat Chorus]

Burn, burn, burn, baby, burn
You're just another picture to burn
Baby, burn...",True
Taylor Swift,False,2006-10-24,3.0,Teardrops On My Guitar,Taylor Swift,,True,,2007-02-19,2006-10-24,0.45,0.32,0.25,0.96,0.76,0.48,99.38,203040.0,False,5.0,0.0,F,minor,F minor,"Drew looks at me, I fake a smile so he won't see
That I want and I'm needing everything that we should be
I'll bet she's beautiful, that girl he talks about
And she's got everything that I have to live without

Drew talks to me, I laugh cause it's so damn funny
That I can't even see anyone when he's with me
He says he's so in love, he's finally got it right,
I wonder if he knows he's all I think about at night

[Chorus:]

He's the reason for the teardrops on my guitar
The only thing that keeps me wishing on a wishing star
He's the song in the car I keep singing, don't know why I do

Drew walks by me, can he tell that I can't breathe?
And there he goes, so perfectly,
The kind of flawless I wish I could be
She'd better hold him tight, give him all her love
Look in those beautiful eyes and know she's lucky cause

[Repeat Chorus]

So I drive home alone, as I turn out the light
I'll put his picture down and maybe
Get some sleep tonight

He's the reason for the teardrops on my guitar
The only one who's got enough of me to break my heart
He's the song in the car I keep singing, don't know why I do
He's the time taken up, but there's never enough
And he's all that I need to fall into..

Drew looks at me, I fake a smile so he won't see",True
Taylor Swift,False,2006-10-24,4.0,A Place In This World,Taylor Swift,,True,,,2006-10-24,0.48,0.38,0.14,0.94,0.74,0.79,114.84,199200.0,False,9.0,1.0,A,major,A major,"I don't know what I want, so don't ask me
Cause I'm still trying to figure it out
Don't know what's down this road, I'm just walking
Trying to see through the rain coming down
Even though I'm not the only one
Who feels the way I do

[Chorus:]

I'm alone, on my own, and that's all I know
I'll be strong, I'll be wrong, oh but life goes on
I'm just a girl, trying to find a place in
This world

Got the radio on, my old blue jeans
And I'm wearing my heart on my sleeve
Feeling lucky today, got the sunshine
Could you tell me what more do I need
And tomorrow's just a mystery, oh yeah
But that's ok

[Repeat Chorus]

Maybe I'm just a girl on a mission
But I'm ready to fly

[Repeat Chorus]",True
Taylor Swift,False,2006-10-24,5.0,Cold As You,Taylor Swift,,True,,,2006-10-24,0.44,0.35,0.21,0.95,0.75,0.78,87.59,239013.0,False,0.0,1.0,C,major,C major,"You have a way of coming easily to me.
And when you take, you take the very best of me.
So I start a fight 'cause I need to feel somethin'
And you do what you want 'cause I'm not what you wanted.

(CHORUS)
Oh, what a shame.
What a rainy ending given to a perfect day.
Just walk away, no use defending words that you will never say.
And now that I'm sittin' here thinkin' it through, I've never been anywhere cold as you.

You put up walls and paint them all a shade of gray.
And I stood there lovin' you and washed them all away.
And you come away with a great little story of a mess of a dreamer with the nerve to adore you.

(CHORUS)
Oh, what a shame.
What a rainy ending given to a perfect day.
So just walk away, no use defending words that you will never say.
And now that I'm sittin' here thinkin' it through, I've never been anywhere cold as you.

You never did give a damn thing, honey.
But I cried, cried for you.
And I know you wouldn't have told nobody if I died, died for you.
(Died for you)

Oh, what a shame.
What a rainy ending give to a perfect day. Every smile you fake is so condescending.
Counted all the scars you made.
Now that I'm sittin her thinkin' it through, I've never been anywhere cold as you",True
Taylor Swift,False,2006-10-24,6.0,The Outside,Taylor Swift,,True,,,2006-10-24,0.44,0.4,0.12,0.93,0.74,0.5,112.35,207106.0,False,5.0,0.0,F,minor,F minor,"I didn't know what I would find
When I went looking for a reason, I know
I didn't read between the lines
And, baby, I've got nowhere to go
I tried to take the road less traveled by
But nothing seems to work the first few times
Am I right?

[Chorus:]

So how can I ever try to be better?
Nobody ever lets me in
I can still see you, this ain't the best view
On the outside looking in
I've been a lot of lonely places
I've never been on the outside

You saw me there, but never knew
I would give it all up to be
A part of this, a part of you
And now it's all too late so you see
You could've helped if you had wanted to
But no one notices until it's too
Late to do anything

[Repeat Chorus]

So how can I ever try to be better?
Nobody ever lets me in
I can still see you, this ain't the best view
On the outside looking in
I've been a lot of lonely places
I've never been on the outside",True
Taylor Swift,False,2006-10-24,7.0,Tied Together With A Smile,Taylor Swift,,True,,,2006-10-24,0.49,0.36,0.15,0.95,0.74,0.8,143.55,248106.0,False,4.0,1.0,E,major,E major,"Seems the only one who doesn't see your beauty
Is the face in the mirror looking back at you
You walk around here thinking you're not pretty
But that's not true, cause I know you...

[Chorus:]

Hold on, baby, you're losing it
The water's high, you're jumping into it
And letting go... and no one knows
You cry, but you don't tell anyone
That you might not be the golden one
And you're tied together with a smile
But you're coming undone

I guess it's true that love was all you wanted
Cause you're giving it away like it's extra change
Hoping it will end up in his pocket
But he leaves you out like a penny in the rain
Oh, cause it's not his price to pay
Not his price to pay...

[Repeat Chorus]

You're tied together with a smile
But you're coming undone... oh
Goodbye, baby
Goodbye, baby
With a smile, baby, baby",True
Taylor Swift,False,2006-10-24,8.0,Stay Beautiful,Taylor Swift,,True,,,2006-10-24,0.48,0.34,0.23,0.95,0.75,0.5,132.51,236053.0,False,8.0,0.0,G#,minor,G# minor,"Cory's eyes are like a jungle
He smiles, it's like the radio
He whispers songs into my window
In words nobody knows
There's pretty girls on every corner
That watch him as he's walking home
Saying, does he know
Will you ever know

[Chorus:]

You're beautiful
Every little piece love, don't you know
You're really gonna be someone, ask anyone
When you find everything you looked for
I hope your life leads you back to my door
Oh but if it don't, stay beautiful

Cory finds another way to be
The highlight of my day
I'm taking pictures in my mind
So I can save them for a rainy day
It's hard to make conversation
When he's taking my breath away
I should say, hey by the way

[Repeat Chorus]

If you and I are a story
That never gets told
If what you are is a daydream
I'll never get to hold, at least you'll know

[Repeat Chorus]",True
Taylor Swift,False,2006-10-24,9.0,Should've Said No,Taylor Swift,,True,,2008-05-18,2006-10-24,0.38,0.37,0.16,0.95,0.74,0.78,83.35,242200.0,False,2.0,1.0,D,major,D major,"48 ContributorsTranslationsСрпскиFrançaisAfrikaansShould’ve Said No Lyrics[Verse 1]
It's strange to think the songs we used to sing
The smiles, the flowers, everything is gone
Yesterday, I found out about you
Even now, just lookin' at you feels wrong

[Pre-Chorus]
You say that you'd take it all back
Given one chance
It was a moment of weakness
And you said yes
[Chorus]
You should've said no, you should've gone home
You should've thought twice 'fore you let it all go
You should've known that word
'Bout what you did with her'd get back to me (Get back to me)
And I should've been there, in the back of your mind
I shouldn't be asking myself why
You shouldn't be begging for forgiveness at my feet
You should've said no
Baby, and you might still have me

[Verse 2]
You can see that I've been cryin'
And baby, you know all the right things to say
But do you honestly expect me to believe
We could ever be the same?

[Pre-Chorus]
You say that the past is the past
You need one chance
It was a moment of weakness
And you said yes

[Chorus]
You should've said no, you should've gone home
You should've thought twice 'fore you let it all go
You should've known that word
'Bout what you did with her’d get back to me (Get back to me)
And I should've been there, in the back of your mind
I shouldn't be asking myself why
You shouldn't be begging for forgiveness at my feet
You should've said no
Baby, and you might still have me
Oh, oh
You might also like[Bridge]
I can't resist
Before you go, tell me this
Was it worth it?
Was she worth this?
No, no
No, no, no, no

[Chorus]
You should've said no, you should've gone home
You should've thought twice 'fore you let it all go
You should've known that word
'Bout what you did with her’d get back to me (Get back to me)
And I should've been there, in the back of your mind
I shouldn't be asking myself why
You shouldn't be begging for forgiveness at my feet
You should've said no
Baby, and you might still have me29Embed",True
Taylor Swift,False,2006-10-24,10.0,Mary's Song (Oh My My My),Taylor Swift,,True,,,2006-10-24,0.51,0.38,0.17,0.94,0.75,0.8,147.66,213080.0,False,9.0,1.0,A,major,A major,"42 ContributorsTranslationsEspañolAfrikaansMary’s Song (Oh My My My) Lyrics[Verse 1]
She said I was seven and you were nine
I looked at you like the stars that shined
In the sky, the pretty lights
And our daddies used to joke about the two of us
Growing up and falling in love
And our mamas smiled and rolled their eyes
And said, ""Oh, my, my, my""

[Chorus]
Take me back to the house in the backyard tree
Said you'd beat me up, you were bigger than me
You never did, you never did
Take me back when our world was one block wide
I dared you to kiss me and ran when you tried
Just two kids, you and I
Oh, my, my, my, my
[Verse 2]
Well, I was sixteen when suddenly
I wasn't that little girl you used to see
But your eyes still shined like pretty lights
And our daddies used to joke about the two of us
They never believed we'd really fall in love
And our mamas smiled and rolled their eyes
And said, ""Oh, my, my, my""

[Chorus]
Take me back to the creek beds we turned up
2 a.m. riding in your truck
And all I need is you next to me
Take me back to the time we had our very first fight
The slamming of doors 'stead of kissing goodnight
You stayed outside 'til the morning light
Oh, my, my, my, my

[Bridge]
A few years had gone and come around
We were sitting at our favorite spot in town
And you looked at me, got down on one knee

[Chorus]
Take me back to the time when we walked down the aisle
Our whole town came and our mamas cried
You said, ""I do,"" and I did, too
Take me home where we met so many years before
We'll rock our babies on that very front porch
After all this time, you and I
You might also like[Outro]
And I'll be eighty-seven, you'll be eighty-nine
I'll still look at you like the stars that shine
In the sky, oh, my, my, my15Embed",True
